posisi;zona;aisle;depth;level;nm_brg;no_batch;berat;x1;x2;x3;x4;x5;x6;x7;x8;y1;y2;y3;y4;y5;y6;y7;y8;z1;z2;z3;z4;z5;z6;z7;z8
AA.01;AA;01;01;BW;0056 - RAMAPET IRS;220410;1000;0,00;0,00;0,00;0,00;0,95;0,95;0,95;0,95;0,95;0,00;0,95;0,00;0,95;0,00;0,95;0,00;0,95;0,95;0,00;0,00;0,95;0,95;0,00;0,00
AA.01;AA;01;02;BW;0056 - RAMAPET IRS;220410;1000;0,00;0,00;0,00;0,00;0,95;0,95;0,95;0,95;1,95;1,00;1,95;1,00;1,95;1,00;1,95;1,00;0,95;0,95;0,00;0,00;0,95;0,95;0,00;0,00
AA.01;AA;01;03;BW;0056 - RAMAPET IRS;220623;1000;0,00;0,00;0,00;0,00;0,95;0,95;0,95;0,95;2,95;2,00;2,95;2,00;2,95;2,00;2,95;2,00;0,95;0,95;0,00;0,00;0,95;0,95;0,00;0,00
AA.01;AA;01;04;BW;0056 - RAMAPET IRS;220715;1000;0,00;0,00;0,00;0,00;0,95;0,95;0,95;0,95;3,95;3,00;3,95;3,00;3,95;3,00;3,95;3,00;0,95;0,95;0,00;0,00;0,95;0,95;0,00;0,00
AA.01;AA;01;05;BW;0056 - RAMAPET IRS;220719;1000;0,00;0,00;0,00;0,00;0,95;0,95;0,95;0,95;4,95;4,00;4,95;4,00;4,95;4,00;4,95;4,00;0,95;0,95;0,00;0,00;0,95;0,95;0,00;0,00
AA.01;AA;01;06;BW;;;;;;;;;;;;;;;;;;;;;;;;;;;
AA.01;AA;01;07;BW;;;;;;;;;;;;;;;;;;;;;;;;;;;
AA.01;AA;01;08;BW;;;;;;;;;;;;;;;;;;;;;;;;;;;
AA.01;AA;01;01;AT;0056 - RAMAPET IRS;220719;1000;0,00;0,00;0,00;0,00;0,95;0,95;0,95;0,95;0,95;0,00;0,95;0,00;0,95;0,00;0,95;0,00;1,95;1,95;1,00;1,00;1,95;1,95;1,00;1,00
AA.01;AA;01;02;AT;0056 - RAMAPET IRS;220719;1000;0,00;0,00;0,00;0,00;0,95;0,95;0,95;0,95;1,95;1,00;1,95;1,00;1,95;1,00;1,95;1,00;1,95;1,95;1,00;1,00;1,95;1,95;1,00;1,00
AA.01;AA;01;03;AT;0056 - RAMAPET IRS;220719;1000;0,00;0,00;0,00;0,00;0,95;0,95;0,95;0,95;2,95;2,00;2,95;2,00;2,95;2,00;2,95;2,00;1,95;1,95;1,00;1,00;1,95;1,95;1,00;1,00
AA.01;AA;01;04;AT;0056 - RAMAPET IRS;220719;1000;0,00;0,00;0,00;0,00;0,95;0,95;0,95;0,95;3,95;3,00;3,95;3,00;3,95;3,00;3,95;3,00;1,95;1,95;1,00;1,00;1,95;1,95;1,00;1,00
AA.01;AA;01;05;AT;0056 - RAMAPET IRS;220719;1000;0,00;0,00;0,00;0,00;0,95;0,95;0,95;0,95;4,95;4,00;4,95;4,00;4,95;4,00;4,95;4,00;1,95;1,95;1,00;1,00;1,95;1,95;1,00;1,00
AA.01;AA;01;06;AT;;;;;;;;;;;;;;;;;;;;;;;;;;;
AA.01;AA;01;07;AT;;;;;;;;;;;;;;;;;;;;;;;;;;;
AA.01;AA;01;08;AT;;;;;;;;;;;;;;;;;;;;;;;;;;;
AA.02;AA;02;01;BW;0056 - RAMAPET IRS;220603;1000;1,00;1,00;1,00;1,00;1,95;1,95;1,95;1,95;0,95;0,00;0,95;0,00;0,95;0,00;0,95;0,00;0,95;0,95;0,00;0,00;0,95;0,95;0,00;0,00
AA.02;AA;02;02;BW;0056 - RAMAPET IRS;220607;1000;1,00;1,00;1,00;1,00;1,95;1,95;1,95;1,95;1,95;1,00;1,95;1,00;1,95;1,00;1,95;1,00;0,95;0,95;0,00;0,00;0,95;0,95;0,00;0,00
AA.02;AA;02;03;BW;0056 - RAMAPET IRS;220607;1000;1,00;1,00;1,00;1,00;1,95;1,95;1,95;1,95;2,95;2,00;2,95;2,00;2,95;2,00;2,95;2,00;0,95;0,95;0,00;0,00;0,95;0,95;0,00;0,00
AA.02;AA;02;04;BW;0056 - RAMAPET IRS;220607;1000;1,00;1,00;1,00;1,00;1,95;1,95;1,95;1,95;3,95;3,00;3,95;3,00;3,95;3,00;3,95;3,00;0,95;0,95;0,00;0,00;0,95;0,95;0,00;0,00
AA.02;AA;02;05;BW;0056 - RAMAPET IRS;220610;1000;1,00;1,00;1,00;1,00;1,95;1,95;1,95;1,95;4,95;4,00;4,95;4,00;4,95;4,00;4,95;4,00;0,95;0,95;0,00;0,00;0,95;0,95;0,00;0,00
AA.02;AA;02;06;BW;0056 - RAMAPET IRS;220610;1000;1,00;1,00;1,00;1,00;1,95;1,95;1,95;1,95;5,95;5,00;5,95;5,00;5,95;5,00;5,95;5,00;0,95;0,95;0,00;0,00;0,95;0,95;0,00;0,00
AA.02;AA;02;07;BW;0056 - RAMAPET IRS;220611;1000;1,00;1,00;1,00;1,00;1,95;1,95;1,95;1,95;6,95;6,00;6,95;6,00;6,95;6,00;6,95;6,00;0,95;0,95;0,00;0,00;0,95;0,95;0,00;0,00
AA.02;AA;02;08;BW;0056 - RAMAPET IRS;220613;1000;1,00;1,00;1,00;1,00;1,95;1,95;1,95;1,95;7,95;7,00;7,95;7,00;7,95;7,00;7,95;7,00;1,95;1,95;1,00;1,00;1,95;1,95;1,00;1,00
AA.02;AA;02;01;AT;0056 - RAMAPET IRS;220613;1000;1,00;1,00;1,00;1,00;1,95;1,95;1,95;1,95;0,95;0,00;0,95;0,00;0,95;0,00;0,95;0,00;1,95;1,95;1,00;1,00;1,95;1,95;1,00;1,00
AA.02;AA;02;02;AT;0056 - RAMAPET IRS;220618;1000;1,00;1,00;1,00;1,00;1,95;1,95;1,95;1,95;1,95;1,00;1,95;1,00;1,95;1,00;1,95;1,00;1,95;1,95;1,00;1,00;1,95;1,95;1,00;1,00
AA.02;AA;02;03;AT;0056 - RAMAPET IRS;220619;1000;1,00;1,00;1,00;1,00;1,95;1,95;1,95;1,95;2,95;2,00;2,95;2,00;2,95;2,00;2,95;2,00;1,95;1,95;1,00;1,00;1,95;1,95;1,00;1,00
AA.02;AA;02;04;AT;0056 - RAMAPET IRS;220622;1000;1,00;1,00;1,00;1,00;1,95;1,95;1,95;1,95;3,95;3,00;3,95;3,00;3,95;3,00;3,95;3,00;1,95;1,95;1,00;1,00;1,95;1,95;1,00;1,00
AA.02;AA;02;05;AT;0056 - RAMAPET IRS;220623;1000;1,00;1,00;1,00;1,00;1,95;1,95;1,95;1,95;4,95;4,00;4,95;4,00;4,95;4,00;4,95;4,00;1,95;1,95;1,00;1,00;1,95;1,95;1,00;1,00
AA.02;AA;02;06;AT;0056 - RAMAPET IRS;220624;1000;1,00;1,00;1,00;1,00;1,95;1,95;1,95;1,95;5,95;5,00;5,95;5,00;5,95;5,00;5,95;5,00;1,95;1,95;1,00;1,00;1,95;1,95;1,00;1,00
AA.02;AA;02;07;AT;;;;;;;;;;;;;;;;;;;;;;;;;;;
AA.02;AA;02;08;AT;;;;;;;;;;;;;;;;;;;;;;;;;;;
AA.03;AA;03;01;BW;;;;2,00;2,00;2,00;2,00;2,95;2,95;2,95;2,95;0,95;0,00;0,95;0,00;0,95;0,00;0,95;0,00;0,95;0,95;0,00;0,00;0,95;0,95;0,00;0,00
AA.03;AA;03;02;BW;;;;2,00;2,00;2,00;2,00;2,95;2,95;2,95;2,95;1,95;1,00;1,95;1,00;1,95;1,00;1,95;1,00;0,95;0,95;0,00;0,00;0,95;0,95;0,00;0,00
AA.03;AA;03;03;BW;;;;2,00;2,00;2,00;2,00;2,95;2,95;2,95;2,95;2,95;2,00;2,95;2,00;2,95;2,00;2,95;2,00;0,95;0,95;0,00;0,00;0,95;0,95;0,00;0,00
AA.03;AA;03;04;BW;;;;2,00;2,00;2,00;2,00;2,95;2,95;2,95;2,95;3,95;3,00;3,95;3,00;3,95;3,00;3,95;3,00;0,95;0,95;0,00;0,00;0,95;0,95;0,00;0,00
AA.03;AA;03;05;BW;;;;2,00;2,00;2,00;2,00;2,95;2,95;2,95;2,95;4,95;4,00;4,95;4,00;4,95;4,00;4,95;4,00;0,95;0,95;0,00;0,00;0,95;0,95;0,00;0,00
AA.03;AA;03;06;BW;;;;2,00;2,00;2,00;2,00;2,95;2,95;2,95;2,95;5,95;5,00;5,95;5,00;5,95;5,00;5,95;5,00;0,95;0,95;0,00;0,00;0,95;0,95;0,00;0,00
AA.03;AA;03;07;BW;;;;2,00;2,00;2,00;2,00;2,95;2,95;2,95;2,95;6,95;6,00;6,95;6,00;6,95;6,00;6,95;6,00;0,95;0,95;0,00;0,00;0,95;0,95;0,00;0,00
AA.03;AA;03;08;BW;;;;2,00;2,00;2,00;2,00;2,95;2,95;2,95;2,95;7,95;7,00;7,95;7,00;7,95;7,00;7,95;7,00;1,95;1,95;1,00;1,00;1,95;1,95;1,00;1,00
AA.03;AA;03;01;AT;;;;2,00;2,00;2,00;2,00;2,95;2,95;2,95;2,95;0,95;0,00;0,95;0,00;0,95;0,00;0,95;0,00;1,95;1,95;1,00;1,00;1,95;1,95;1,00;1,00
AA.03;AA;03;02;AT;;;;2,00;2,00;2,00;2,00;2,95;2,95;2,95;2,95;1,95;1,00;1,95;1,00;1,95;1,00;1,95;1,00;1,95;1,95;1,00;1,00;1,95;1,95;1,00;1,00
AA.03;AA;03;03;AT;;;;2,00;2,00;2,00;2,00;2,95;2,95;2,95;2,95;2,95;2,00;2,95;2,00;2,95;2,00;2,95;2,00;1,95;1,95;1,00;1,00;1,95;1,95;1,00;1,00
AA.03;AA;03;04;AT;;;;2,00;2,00;2,00;2,00;2,95;2,95;2,95;2,95;3,95;3,00;3,95;3,00;3,95;3,00;3,95;3,00;1,95;1,95;1,00;1,00;1,95;1,95;1,00;1,00
AA.03;AA;03;05;AT;;;;2,00;2,00;2,00;2,00;2,95;2,95;2,95;2,95;4,95;4,00;4,95;4,00;4,95;4,00;4,95;4,00;1,95;1,95;1,00;1,00;1,95;1,95;1,00;1,00
AA.03;AA;03;06;AT;;;;2,00;2,00;2,00;2,00;2,95;2,95;2,95;2,95;5,95;5,00;5,95;5,00;5,95;5,00;5,95;5,00;1,95;1,95;1,00;1,00;1,95;1,95;1,00;1,00
AA.03;AA;03;07;AT;;;;;;;;;;;;;;;;;;;;;;;;;;;
AA.03;AA;03;08;AT;;;;;;;;;;;;;;;;;;;;;;;;;;;